USER	PID	LWP	NLWP	CPU	MEM	COMMAND
root	363	2	363	0.00	0.00	0:00 [kworker/R-ext4-rsv-conversion]
root	413	1	413	0.00	0.20	0:07 /usr/lib/systemd/systemd-journald
root	500	1	500	0.00	0.00	0:00 /usr/lib/systemd/systemd-udevd
root	505	2	505	0.00	0.00	0:01 [kworker/17:1-events]
root	511	2	511	0.00	0.00	0:00 [psimon]
root	526	2	526	0.00	0.00	0:00 [kworker/16:1H-i915_cleanup]
root	621	2	621	0.00	0.00	0:00 [kworker/R-cfg80211]
root	663	2	663	0.10	0.00	1:08 [irq/178-iwlwifi:default_queue]
root	664	2	664	0.00	0.00	0:04 [irq/179-iwlwifi:queue_1]
root	665	2	665	0.00	0.00	0:04 [irq/180-iwlwifi:queue_2]
root	666	2	666	0.00	0.00	0:13 [irq/181-iwlwifi:queue_3]
root	667	2	667	0.00	0.00	0:03 [irq/182-iwlwifi:queue_4]
root	668	2	668	0.00	0.00	0:13 [irq/183-iwlwifi:queue_5]
root	669	2	669	0.00	0.00	0:06 [irq/184-iwlwifi:queue_6]
root	670	2	670	0.00	0.00	0:05 [irq/185-iwlwifi:queue_7]
root	671	2	671	0.00	0.00	0:04 [irq/186-iwlwifi:queue_8]
root	672	2	672	0.00	0.00	0:09 [irq/187-iwlwifi:queue_9]
root	673	2	673	0.10	0.00	0:51 [irq/188-iwlwifi:queue_10]
root	674	2	674	0.00	0.00	0:12 [irq/189-iwlwifi:queue_11]
root	675	2	675	0.00	0.00	0:11 [irq/190-iwlwifi:queue_12]
root	676	2	676	0.00	0.00	0:04 [irq/191-iwlwifi:queue_13]
root	677	2	677	0.00	0.00	0:03 [irq/192-iwlwifi:queue_14]
root	678	2	678	0.00	0.00	0:00 [irq/193-iwlwifi:exception]
root	679	2	679	0.00	0.00	0:00 [kworker/R-cryptd]
root	694	2	694	0.00	0.00	0:10 [kworker/u75:1-hci0]
root	696	2	696	0.00	0.00	0:00 [irq/16-processor_thermal_device_pci]
root	749	2	749	0.00	0.00	0:00 [kworker/R-ttm]
root	751	2	751	0.00	0.00	0:00 [card1-crtc0]
root	752	2	752	0.00	0.00	0:00 [card1-crtc1]
root	753	2	753	0.00	0.00	0:00 [card1-crtc2]
root	754	2	754	0.00	0.00	0:00 [card1-crtc3]
root	782	2	782	0.00	0.00	0:00 [irq/199-AudioDSP]
systemd+	923	1	923	0.00	0.00	0:12 /usr/lib/systemd/systemd-oomd
systemd+	924	1	924	0.00	0.00	0:07 /usr/lib/systemd/systemd-resolved
systemd+	925	1	925	0.00	0.00	0:00 /usr/lib/systemd/systemd-timesyncd
root	1067	2	1067	0.00	0.00	0:00 [kworker/17:1H-kblockd]
avahi	1107	1	1107	0.30	0.00	2:33 avahi-daemon: running [blackdronzer.local]
root	1108	1	1108	0.00	0.00	0:00 /usr/libexec/bluetooth/bluetoothd
message+	1109	1	1109	0.00	0.00	0:07 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+	1112	1	1112	0.00	0.10	0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd	1115	1	1115	0.00	0.00	0:03 /usr/lib/polkit-1/polkitd --no-debug
root	1117	1	1117	0.00	0.00	0:00 /usr/libexec/power-profiles-daemon
root	1124	1	1124	0.00	0.20	0:06 /snap/snapd/current/usr/lib/snapd/snapd
root	1128	1	1128	0.00	0.00	0:01 /usr/libexec/accounts-daemon
root	1130	1	1130	0.00	0.00	0:00 /usr/sbin/cron -f -P
root	1132	1	1132	0.00	0.00	0:00 /usr/libexec/switcheroo-control
root	1138	1	1138	0.00	0.00	0:01 /usr/lib/systemd/systemd-logind
root	1139	1	1139	0.00	0.00	0:05 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root	1140	1	1140	0.00	0.00	0:00 /usr/libexec/udisks2/udisksd
root	1141	1	1141	1.20	1.00	8:50 /bin/warp-svc
avahi	1147	1107	1147	0.00	0.00	0:00 avahi-daemon: chroot helper
root	1186	1	1186	0.00	0.10	0:10 /usr/sbin/NetworkManager --no-daemon
root	1189	1	1189	0.00	0.00	0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog	1222	1	1222	0.00	0.00	0:02 /usr/sbin/rsyslogd -n -iNONE
root	1293	1	1293	0.00	0.00	0:00 /usr/sbin/ModemManager
root	1313	1	1313	0.00	0.00	0:00 /usr/libexec/boltd
root	1351	1	1351	0.00	0.00	0:02 /usr/libexec/upowerd
root	1417	2	1417	0.00	0.00	0:00 [psimon]
root	1426	1	1426	0.00	0.00	0:00 /usr/sbin/cupsd -l
root	1432	1	1432	0.00	0.10	0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root	1452	1	1452	0.00	0.20	0:34 /usr/bin/containerd
root	1455	1	1455	0.00	0.00	0:00 /usr/sbin/gdm3
mysql	1469	1	1469	0.40	2.40	3:12 /usr/sbin/mysqld
rtkit	1534	1	1534	0.00	0.00	0:00 /usr/libexec/rtkit-daemon
root	1645	2	1645	0.00	0.00	0:00 [krfcommd]
colord	1707	1	1707	0.00	0.00	0:00 /usr/libexec/colord
cups-br+	2178	1	2178	0.00	0.10	0:00 /usr/sbin/cups-browsed
root	2179	1	2179	0.00	0.50	0:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
ollama	2181	1	2181	0.00	0.10	0:00 /usr/local/bin/ollama serve
kernoops	2182	1	2182	0.00	0.00	0:00 /usr/sbin/kerneloops --test
kernoops	2185	1	2185	0.00	0.00	0:00 /usr/sbin/kerneloops
root	2560	1455	2560	0.00	0.00	0:00 gdm-session-worker [pam/gdm-password]
supprit	2573	1	2573	0.00	0.00	0:04 /usr/lib/systemd/systemd --user
supprit	2579	2573	2579	0.00	0.00	0:00 (sd-pam)
supprit	2589	2573	2589	0.00	0.10	0:05 /usr/bin/pipewire
supprit	2590	2573	2590	0.00	0.00	0:00 /usr/bin/pipewire -c filter-chain.conf
supprit	2591	2573	2591	0.00	0.00	0:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
supprit	2593	2573	2593	0.20	0.10	1:55 /usr/bin/wireplumber
