UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root         674       2     674  0    1 09:19 ?        00:00:12 [irq/189-iwlwifi:queue_11]
root         675       2     675  0    1 09:19 ?        00:00:11 [irq/190-iwlwifi:queue_12]
root         676       2     676  0    1 09:19 ?        00:00:04 [irq/191-iwlwifi:queue_13]
root         677       2     677  0    1 09:19 ?        00:00:03 [irq/192-iwlwifi:queue_14]
root         678       2     678  0    1 09:19 ?        00:00:00 [irq/193-iwlwifi:exception]
root         679       2     679  0    1 09:19 ?        00:00:00 [kworker/R-cryptd]
root         694       2     694  0    1 09:19 ?        00:00:10 [kworker/u75:1-hci0]
root         696       2     696  0    1 09:19 ?        00:00:00 [irq/16-processor_thermal_device_pci]
root         749       2     749  0    1 09:19 ?        00:00:00 [kworker/R-ttm]
root         751       2     751  0    1 09:19 ?        00:00:00 [card1-crtc0]
root         752       2     752  0    1 09:19 ?        00:00:00 [card1-crtc1]
root         753       2     753  0    1 09:19 ?        00:00:00 [card1-crtc2]
root         754       2     754  0    1 09:19 ?        00:00:00 [card1-crtc3]
root         782       2     782  0    1 09:19 ?        00:00:00 [irq/199-AudioDSP]
systemd+     923       1     923  0    1 09:19 ?        00:00:12 /usr/lib/systemd/systemd-oomd
systemd+     924       1     924  0    1 09:19 ?        00:00:07 /usr/lib/systemd/systemd-resolved
systemd+     925       1     925  0    2 09:19 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
systemd+     925       1     991  0    2 09:19 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root        1067       2    1067  0    1 09:19 ?        00:00:00 [kworker/17:1H-kblockd]
avahi       1107       1    1107  0    1 09:19 ?        00:02:33 avahi-daemon: running [blackdronzer.local]
root        1108       1    1108  0    1 09:19 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
message+    1109       1    1109  0    1 09:19 ?        00:00:07 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1112       1    1112  0    4 09:19 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1112       1    1262  0    4 09:19 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
